top_class,leaf_class,video,path,width,height,resolution,fps,frame_count,duration_sec,codec,aspect_ratio,center_check_pct_in_box
Color,Black,0.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\0.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,1.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\1.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,10.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\10.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,11.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\11.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,12.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\12.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,13.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\13.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,14.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\14.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,15.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\15.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,16.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\16.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,17.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\17.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,18.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\18.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,19.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\19.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,2.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\2.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,3.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\3.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,4.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\4.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,5.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\5.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,6.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\6.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,7.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\7.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,8.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\8.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Black,9.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Black\9.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,0.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\0.MOV,640,360,640x360,60.0,245,4.083,h264,1.77778,
Color,Blue,1.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\1.MOV,640,360,640x360,60.0,245,4.083,h264,1.77778,
Color,Blue,10.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\10.MOV,640,360,640x360,60.0,245,4.083,h264,1.77778,
Color,Blue,11.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\11.MOV,640,360,640x360,60.0,245,4.083,h264,1.77778,
Color,Blue,12.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\12.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,13.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\13.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,14.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\14.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,15.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\15.MOV,640,360,640x360,60.0,245,4.083,h264,1.77778,
Color,Blue,16.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\16.MOV,640,360,640x360,60.0,245,4.083,h264,1.77778,
Color,Blue,17.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\17.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,18.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\18.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,19.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\19.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,2.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\2.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,3.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\3.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,4.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\4.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,5.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\5.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,6.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\6.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,7.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\7.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,8.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\8.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Blue,9.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Blue\9.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,0.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\0.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,1.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\1.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,10.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\10.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,11.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\11.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,12.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\12.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,13.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\13.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,14.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\14.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,15.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\15.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,16.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\16.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,17.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\17.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,18.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\18.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,19.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\19.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,2.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\2.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,20.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\20.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,3.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\3.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,4.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\4.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,5.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\5.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,6.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\6.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,7.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\7.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,8.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\8.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Green,9.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Green\9.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,0.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\0.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,1.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\1.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,10.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\10.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,11.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\11.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,12.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\12.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,13.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\13.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,14.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\14.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,15.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\15.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,16.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\16.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,17.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\17.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,18.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\18.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,19.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\19.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,2.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\2.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,3.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\3.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,4.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\4.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,5.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\5.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,6.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\6.MOV,640,360,640x360,60.0,244,4.067,h264,1.77778,
Color,Orange,7.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\7.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,8.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\8.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
Color,Orange,9.MOV,c:\Users\ACER NITRO\Documents\GitHub\FSL-PROJECT-DESIGN\BETTER\Training\Videos\Color\Orange\9.MOV,640,360,640x360,60.0,243,4.05,h264,1.77778,
